Date,signal
2012-11-19,up
2012-11-20,stay
2012-11-21,stay
2012-11-23,down
2012-11-26,stay
2012-11-27,stay
2012-11-28,up
2012-11-29,stay
2012-11-30,stay
2012-12-03,up
2012-12-04,stay
2012-12-05,stay
2012-12-06,stay
2012-12-07,stay
2012-12-10,stay
2012-12-11,up
2012-12-12,stay
2012-12-13,down
2012-12-14,stay
2012-12-17,stay
2012-12-18,stay
2012-12-19,stay
2012-12-20,stay
2012-12-21,stay
2012-12-24,up
2012-12-26,stay
2012-12-27,stay
2012-12-28,stay
2012-12-31,stay
2013-01-02,stay
2013-01-03,stay
2013-01-04,down
2013-01-07,down
2013-01-08,down
2013-01-09,down
2013-01-10,down
2013-01-11,down
2013-01-14,stay
2013-01-15,up
2013-01-16,stay
2013-01-17,stay
2013-01-18,stay
2013-01-22,up
2013-01-23,up
2013-01-24,up
2013-01-25,stay
2013-01-28,up
2013-01-29,stay
2013-01-30,stay
2013-01-31,stay
2013-02-01,stay
2013-02-04,down
2013-02-05,stay
2013-02-06,up
2013-02-07,stay
2013-02-08,stay
2013-02-11,up
2013-02-12,down
2013-02-13,stay
2013-02-14,down
2013-02-15,down
2013-02-19,up
2013-02-20,stay
2013-02-21,down
2013-02-22,stay
2013-02-25,down
2013-02-26,stay
2013-02-27,stay
2013-02-28,down
2013-03-01,down
2013-03-04,up
2013-03-05,up
2013-03-06,up
2013-03-07,up
2013-03-08,up
2013-03-11,stay
2013-03-12,stay
2013-03-13,stay
2013-03-14,down
2013-03-15,down
2013-03-18,stay
2013-03-19,stay
2013-03-20,up
2013-03-21,stay
2013-03-22,stay
2013-03-25,up
2013-03-26,stay
2013-03-27,stay
2013-03-28,down
2013-04-01,up
2013-04-02,up
2013-04-03,down
2013-04-04,up
2013-04-05,down
2013-04-08,stay
2013-04-09,down
2013-04-10,up
2013-04-11,up
2013-04-12,up
2013-04-15,up
2013-04-16,up
2013-04-17,stay
2013-04-18,up
2013-04-19,stay
2013-04-22,up
2013-04-23,stay
2013-04-24,stay
2013-04-25,up
2013-04-26,down
2013-04-29,up
2013-04-30,down
2013-05-01,down
2013-05-02,stay
2013-05-03,down
2013-05-06,up
2013-05-07,down
2013-05-08,down
2013-05-09,stay
2013-05-10,up
2013-05-13,up
2013-05-14,down
2013-05-15,up
2013-05-16,down
2013-05-17,down
2013-05-20,down
2013-05-21,down
2013-05-22,up
2013-05-23,up
2013-05-24,up
2013-05-28,up
2013-05-29,down
2013-05-30,up
2013-05-31,down
2013-06-03,down
2013-06-04,up
2013-06-05,up
2013-06-06,up
2013-06-07,up
2013-06-10,up
2013-06-11,down
2013-06-12,up
2013-06-13,down
2013-06-14,stay
2013-06-17,down
2013-06-18,stay
2013-06-19,up
2013-06-20,down
2013-06-21,down
2013-06-24,up
2013-06-25,stay
2013-06-26,up
2013-06-27,up
2013-06-28,stay
2013-07-01,up
2013-07-02,stay
2013-07-03,down
2013-07-05,up
2013-07-08,stay
2013-07-09,down
2013-07-10,stay
2013-07-11,stay
2013-07-12,up
2013-07-15,down
2013-07-16,down
2013-07-17,up
2013-07-18,down
2013-07-19,stay
2013-07-22,up
2013-07-23,stay
2013-07-24,down
2013-07-25,up
2013-07-26,stay
2013-07-29,up
2013-07-30,down
2013-07-31,up
2013-08-01,stay
2013-08-02,up
2013-08-05,up
2013-08-06,down
2013-08-07,down
2013-08-08,stay
2013-08-09,stay
2013-08-12,down
2013-08-13,down
